topiId,topicProb,topicName,topicWords
126,0.01233,mexican,burrito mexican taco mexican_food wahaca margarita guacamole nacho mexican_restaurant tortilla salsa fajitas quesadilla tequila mexico street_food enchilada churros tex_mex cheese
127,0.09723,english breakfast,breakfast brunch egg coffee full_english morning egg_benedict toast poached_egg bacon english_breakfast breakfast_here pancake bread sausage tea breakfast_menu breakfast_lunch omelette orange_juice
128,0.00448,italian,spaghetti_house simpson sutton portico vacherin tortellini toscana simpson_strand uno casa_nostra regal_spice parma boyd brasserie_vacherin putney boyds region spaghetti_tree carver malcolm_john
129,0.01364,places,park hampstead primrose_hill lake heath bull dog west_hampstead hyde_park hampstead_heath highgate old_orchard walk belsize_park orange_tree regent_park flask hill serpentine odette
130,0.00838,lobster,lobster lobster_roll burger_lobster roll whole_lobster lobster_burger steak_lobster lobster_lobster salad lobster_not burger fries_salad crab concept simple half_lobster fries garlic_butter b&l chip_salad
131,0.01957,dessert,ice_cream chocolate cake crepe cream sweet mad_hatter dessert flavour hot_chocolate waffle milkshake white_chocolate theme savoury cupcake sanderson brownie gelato macaroon
132,0.00512,europian,arbutus wild_honey las_iguanas ffiona salon cheam les_deux iguanas iguana las_iguana happy_hour grumpy_mole fiddie eco megan cibo pakhtoon las forest_hill che
133,0.28879,date night,experience birthday amazing lovely staff_very husband fantastic dessert special wife beautiful very_attentive excellent attentive very_good partner helpful brilliant delicious highly
134,0.00855,airport,airport heathrow flight terminal pheasant lounge airport_hotel heathrow_airport bath_road plane sofitel heathrow_hotel holiday security lhr holiday_inn airport_restaurant park_inn kaniz portion
135,0.00486,places,wolseley piccadilly art_deco delaunay zedel piccadilly_circus criterion brasserie circus brasserie_zedel central_london picadilly jermyn_street large american_bar grand dining_room delauney corbin_king just_piccadilly
136,0.03079,snacks,afternoon_tea tea sandwich cake scone high_tea afternoon champagne lovely pastry sandwich_cake ritz experience finger_sandwich sandwich_scone jam clotted_cream delicious treat pot_tea
137,0.06769,service,service_charge bill charge tip charge_bill bill_not expensive not_service bill_service automatically discretionary_service pound discretionary charge_not optional optional_service waitress gratuity beer cost
138,0.03448,sports bar,game sport football twickenham match screen rugby sport_bar match_day big_screen football_match irish pool_table cricket beer fan guinness rugby_match irish_pub stadium
139,0.00771,wine,prosecco brunch deal unlimited_prosecco bubble bottomless_brunch unlimited bellini angler champagne glass sunday_brunch bottomless offer bottomless_prosecco avenue free_prosecco corrigan grill south
140,0.00258,british,fera claridges tasting_menu snack claridge story dabbous simon_rogan texture dairy art_deco simon clove_club typing_room l'enclume foyer hedone kitchen lovage offer
141,0.00671,korean,korean korean_food bbq kimchi bibimbap korean_restaurant bowling kimchee beef lane new_malden korean_bbq bulgogi korea meat grill bowl dumpling rice noodle
142,0.09154,open restuarant,terrace garden summer inside sun weather conservatory beautiful courtyard sunny_day lovely setting table_outside outdoor_seating heater outside_seating roof_terrace outside_table outside_area patio
143,0.00079,brunch,aqua_shard shard aqua brunch breakfast afternoon_tea bar toilet st_floor service_charge aquashard lobster_benedict tower_bridge starter david tea nd_floor three_course main_course brunch_menu
144,0.00822,tower,tower_bridge bridge tower_london london_bridge tower katherine_dock view_tower dock marina tower_hill smith katharine_dock great_view great_location dickens_inn boat thames_tower chop_house grill london_tower
145,0.03993,chinese,chinese duck chinese_restaurant chinese_food noodle crispy_duck china_town chinatown sweet_sour rice soup roast_duck pork beef china fried_rice best_chinese pancake prawn spring_roll
146,0.00381,peruvian,ceviche peruvian pisco_sour peruvian_food cuban peru lima coya peruvian_restaurant south_american cuba pisco sea_bass asia_cuba ceviches octopus chotto_matte quinoa colombian peruvian_cuisine
147,0.05869,indian,curry indian_restaurant indian_food indian naan chicken_tikka best_indian curry_house lamb spice india masala naan_bread chicken rice poppadoms tandoori indian_cuisine spicy biryani
148,0.01874,sushi,sushi japanese sashimi japanese_food japanese_restaurant tempura roll miso_soup japan sake bento_box green_tea sushi_sashimi fish salmon sushi_restaurant rice sushi_bar wasabi chef
149,0.00622,hard rock,hard_rock paddington cafe paddington_station memorabilia hyde_park rock hrc vault sticky_finger music lancaster_gate island_grill guitar world paddington_area nacho rolling_stone rock_cafe close_paddington
150,0.00682,persian,persian kebab persian_food bread iranian persian_restaurant rice lamb stew iran saffron_rice iranian_food saffron persian_cuisine iranian_restaurant grill flat_bread naan middle_eastern oven
151,0.01023,places,putney cereal kilburn earlsfield wandsworth alma crowne_plaza shakshuka mill_hill milk roxie putney_bridge emile umami bowl imli greedy_cow cereal_killer kilburn_high holloway_road
152,0.01132,places,chelsea king_road fulham sloane_square bluebird fulham_road botanist colbert fulham_broadway medlar blue_elephant parson_green square saatchi_gallery phene king imperial_wharf chelsea_flower chutney_mary show
153,0.00909,places,mayfair langans green_park albion whisky park_lane shepherd_market cigar boisdale scottish haggis whiskey heart_mayfair theo theo_randall langan bond_street mayfair_restaurant mew lane
154,0.07793,burger,burger fries bun byron onion_ring best_burger milkshake sweet_potato burger_fries cheese meat burger_very chicken_burger good_burger burger_chip five_guy honest_burger side burger_good patty
155,0.00889,south indian,south_indian dosa thali dosas indian_food masala_zone indian masala_dosa india curry chettinad chutney vegetarian thalis street_food sagar indian_restaurant paneer quilon grand_thali
156,0.05825,sunday_place,roast sunday_lunch sunday_roast roast_beef gravy beef pudding yorkshire_pudding roast_potato meat sticky_toffee sunday veg potato roast_dinner gastro_pub scotch_egg lamb pork dining_room
157,0.03331,beer,beer craft_beer ale pint cider brewery real_ale tap selection_beer selection great_selection great_beer beer_selection lager good_beer beer_great beer_tap beer_good range_beer brew
158,0.01524,pizza,pizza_express pizza prezzo express voucher pizza_hut dough_ball garlic_bread pasta branch salad tesco_voucher pizza_pasta wildwood calzone goat_cheese fire_stone chain_restaurant pasta_dish hut
159,0.00908,place,south_bank waterloo london_eye waterloo_station southbank skylon old_vic slug_lettuce canteen arch station royal_festival national_theatre festival_hall hall railway_arch county_hall cut southwark bank
160,0.09086,home_delivery,takeaway delivery driver home_delivery phone online take_away hot delivery_service takeaway_here delivery_time free call website cold takeaway_food refund box delivery_driver customer_service
